step,module_i,module_j,A,B,R_A,R_D,T,coordinate,seen_count_after,is_reuse
14,1,7,21,121,17,108,100,"(17, 108, 100)",28,True
14,2,3,22,22,22,0,0,"(22, 0, 0)",7,True
14,2,4,22,81,16,71,59,"(16, 71, 59)",25,True
14,2,5,22,81,16,71,59,"(16, 71, 59)",26,True
14,2,6,22,121,16,111,99,"(16, 111, 99)",25,True
14,2,7,22,121,16,111,99,"(16, 111, 99)",26,True
14,3,4,22,81,16,71,59,"(16, 71, 59)",27,True
14,3,5,22,81,16,71,59,"(16, 71, 59)",28,True
14,3,6,22,121,16,111,99,"(16, 111, 99)",27,True
14,3,7,22,121,16,111,99,"(16, 111, 99)",28,True
14,4,5,81,81,81,0,0,"(81, 0, 0)",7,True
14,4,6,81,121,81,40,40,"(81, 40, 40)",25,True
14,4,7,81,121,81,40,40,"(81, 40, 40)",26,True
14,5,6,81,121,81,40,40,"(81, 40, 40)",27,True
14,5,7,81,121,81,40,40,"(81, 40, 40)",28,True
14,6,7,121,121,121,0,0,"(121, 0, 0)",7,True
15,0,1,21,21,21,0,0,"(21, 0, 0)",16,True
15,0,2,21,22,20,3,1,"(20, 3, 1)",29,True
15,0,3,21,22,20,3,1,"(20, 3, 1)",30,True
15,0,4,21,81,17,68,60,"(17, 68, 60)",29,True
15,0,5,21,81,17,68,60,"(17, 68, 60)",30,True
15,0,6,21,121,17,108,100,"(17, 108, 100)",29,True
15,0,7,21,121,17,108,100,"(17, 108, 100)",30,True
15,1,2,21,22,20,3,1,"(20, 3, 1)",31,True
15,1,3,21,22,20,3,1,"(20, 3, 1)",32,True
15,1,4,21,81,17,68,60,"(17, 68, 60)",31,True
15,1,5,21,81,17,68,60,"(17, 68, 60)",32,True
15,1,6,21,121,17,108,100,"(17, 108, 100)",31,True
15,1,7,21,121,17,108,100,"(17, 108, 100)",32,True
15,2,3,22,22,22,0,0,"(22, 0, 0)",8,True
15,2,4,22,81,16,71,59,"(16, 71, 59)",29,True
15,2,5,22,81,16,71,59,"(16, 71, 59)",30,True
15,2,6,22,121,16,111,99,"(16, 111, 99)",29,True
15,2,7,22,121,16,111,99,"(16, 111, 99)",30,True
15,3,4,22,81,16,71,59,"(16, 71, 59)",31,True
15,3,5,22,81,16,71,59,"(16, 71, 59)",32,True
15,3,6,22,121,16,111,99,"(16, 111, 99)",31,True
15,3,7,22,121,16,111,99,"(16, 111, 99)",32,True
15,4,5,81,81,81,0,0,"(81, 0, 0)",8,True
15,4,6,81,121,81,40,40,"(81, 40, 40)",29,True
